address,propertyType,bedrooms,transactions,lat,lon,detailsUrl
"Flat 7, Montego Court, 48, Myrdle Street, London, Greater London E1 1HL",FLAT,,"[{'displayPrice': '£515,000', 'dateSold': '24 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£482,000', 'dateSold': '3 Jul 2015', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.51544,-0.06346,https://www.rightmove.co.uk/house-prices/details/england-21648604?s=6942faf4f62d1a3bb05b923cc0010ec28bf70fc78ead8fed1a6be404ded01cb2
"12, Kildare Road, London, Greater London E16 4AD",TERRACED,3,"[{'displayPrice': '£425,000', 'dateSold': '24 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£225,000', 'dateSold': '27 Sep 2013', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£190,000', 'dateSold': '22 Oct 2004', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.518,0.01938,https://www.rightmove.co.uk/house-prices/details/england-77615167-21650599?s=482a1207b5ec0f22213f2e74dac6ec300f8ca62ff802c0f7f91028bc1068b92d
"85, John Archer Way, London, Greater London SW18 2TT",FLAT,2,"[{'displayPrice': '£497,500', 'dateSold': '24 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£540,000', 'dateSold': '26 May 2022', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£540,000', 'dateSold': '15 Jul 2016', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£476,250', 'dateSold': '3 Dec 2015', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£250,000', 'dateSold': '28 Feb 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£160,000', 'dateSold': '29 Nov 1999', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.453,-0.17348,https://www.rightmove.co.uk/house-prices/details/england-153025904-21810214?s=9ac9f561e2e96af6925eaf066982a619daaa39a3829f989c873f85f4e15669c0
"85, Brigadier Hill, Enfield, Greater London EN2 0NJ",SEMI_DETACHED,3,"[{'displayPrice': '£530,000', 'dateSold': '24 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£389,000', 'dateSold': '12 Feb 2015', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£159,950', 'dateSold': '3 Jul 2001', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£117,250', 'dateSold': '30 Jun 1999', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.6661,-0.08755,https://www.rightmove.co.uk/house-prices/details/england-60382374-21653137?s=ce9f8792fe1a23ae374a776823d54406b23b52d49e32313cb403e4d011464afd
"Flat 18, Farthing Court, 33, Langstone Way, London, Greater London NW7 1GQ",FLAT,,"[{'displayPrice': '£325,000', 'dateSold': '24 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£315,000', 'dateSold': '9 Mar 2020', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£315,000', 'dateSold': '28 Feb 2019', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£292,950', 'dateSold': '29 Apr 2005', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.60643,-0.20978,https://www.rightmove.co.uk/house-prices/details/england-21741973?s=66f19e036c806801c320c524cc191da1bdefa6f915261f86d1887b2a44456e21
"Flat 8, St. Annes Court, 123, Salusbury Road, London, Greater London NW6 6RG",FLAT,,"[{'displayPrice': '£435,000', 'dateSold': '24 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£385,000', 'dateSold': '11 Sep 2020', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£320,000', 'dateSold': '25 Jul 2012', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£85,995', 'dateSold': '8 Nov 1996', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.53768,-0.20671,https://www.rightmove.co.uk/house-prices/details/england-21741904?s=107bf20ba186a2ddfb9a075592aaf3c109d3cbb22de7df42db2b3335ed1ba9e7
"The Cottage, Lambert Road, London, Greater London N12 9ER",DETACHED,2,"[{'displayPrice': '£535,000', 'dateSold': '23 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£240,000', 'dateSold': '16 Oct 2006', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£232,500', 'dateSold': '27 Mar 2002', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£150,000', 'dateSold': '4 Sep 1998', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£88,000', 'dateSold': '8 Dec 1995', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.61317,-0.17471,https://www.rightmove.co.uk/house-prices/details/england-147838511-21715504?s=fbd9be5503c1c79f914b9155933251906ddd42f7fd66ede0490dbfa9a9fbb01f
"24, Wells Place, London, Greater London SW18 3AW",FLAT,1,"[{'displayPrice': '£375,000', 'dateSold': '23 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£158,000', 'dateSold': '31 Jul 2001', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.44851,-0.18589,https://www.rightmove.co.uk/house-prices/details/england-116059976-21810235?s=5aa6fffc4df479b9ba8240ea1a4925f085bb6b7fa4a6ab369308cb573775ac0a
"Flat 4b, Welbeck Mansions, Inglewood Road, London, Greater London NW6 1QX",FLAT,1,"[{'displayPrice': '£570,000', 'dateSold': '23 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£496,999', 'dateSold': '12 Dec 2013', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£358,000', 'dateSold': '17 Jul 2007', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£235,000', 'dateSold': '6 May 2005', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£120,000', 'dateSold': '14 Nov 1997', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.55105,-0.19349,https://www.rightmove.co.uk/house-prices/details/england-148911116-21741706?s=862a085054018db356496889674189ba79cf04a689ab1f98376edf640e619890
"Flat 5, 33, Seward Street, London, Greater London EC1V 3PA",FLAT,,"[{'displayPrice': '£645,000', 'dateSold': '23 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£650,000', 'dateSold': '2 Feb 2020', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.52634,-0.09788,https://www.rightmove.co.uk/house-prices/details/england-21652546?s=8ab4279603cdf43b0058d43f1edfc6b409adf55ed94051ddc2d3ddf047638048
